SUBJECT,RELATION,OBJECT_PROPERTY
Ang Lee,DIRECTED,Life of Pi
Life of Pi,HAS_DIRECTOR,Ang Lee
Drama,GENRE_OF,Life of Pi
Life of Pi,HAS_GENRE,Drama
Adventure,GENRE_OF,Life of Pi
Life of Pi,HAS_GENRE,Adventure
Horror,GENRE_OF,Demons 2
Demons 2,HAS_GENRE,Horror
Naomi Watts,CAST_IN,The Glass Castle
The Glass Castle,HAS_CAST,Naomi Watts
Woody Harrelson,CAST_IN,The Glass Castle    
The Glass Castle,HAS_CAST,Woody Harrelson
Brie Larson,CAST_IN,The Glass Castle
The Glass Castle,HAS_CAST,Brie Larson
Drama,GENRE_OF,The Glass Castle
The Glass Castle,HAS_GENRE,Drama
Helen Mirren,CAST_IN,2010
2010,HAS_CAST,Helen Mirren
Science Fiction,GENRE_OF,2010
2010,HAS_GENRE,Science Fiction
Thriller,GENRE_OF,2010
2010,HAS_GENRE,Thriller
Bernie Mac,CAST_IN,Bad Santa
Bad Santa,HAS_CAST,Bernie Mac
Billy Bob Thornton,CAST_IN,Bad Santa
Bad Santa,HAS_CAST,Billy Bob Thornton
Crime,GENRE_OF,Bad Santa
Bad Santa,HAS_GENRE,Crime
Comedy,GENRE_OF,Bad Santa
Bad Santa,HAS_GENRE,Comedy
Drama,GENRE_OF,Bad Santa
Bad Santa,HAS_GENRE,Drama
Seth Green,CAST_IN,Party Monster
Party Monster,HAS_CAST,Seth Green
Macaulay Culkin,CAST_IN,Party Monster
Party Monster,HAS_CAST,Macaulay Culkin
Crime,GENRE_OF,Party Monster
Party Monster,HAS_GENRE,Crime
Drama,GENRE_OF,Party Monster
Party Monster,HAS_GENRE,Drama
Comedy,GENRE_OF,Party Monster
Party Monster,HAS_GENRE,Comedy
Joey Lauren Adams,CAST_IN,Big Daddy
Big Daddy,HAS_CAST,Joey Lauren Adams
Adam Sandler,CAST_IN,Big Daddy
Big Daddy,HAS_CAST,Adam Sandler
Drama,GENRE_OF,Big Daddy
Big Daddy,HAS_GENRE,Drama
Comedy,GENRE_OF,Big Daddy
Big Daddy,HAS_GENRE,Comedy
Horror,GENRE_OF,Nosferatu
Nosferatu,HAS_GENRE,Horror
Fantasy,GENRE_OF,Nosferatu
Nosferatu,HAS_GENRE,Fantasy
Bette Midler,CAST_IN,Cats & Dogs: The Revenge of Kitty Galore
Cats & Dogs: The Revenge of Kitty Galore,HAS_CAST,Bette Midler
Christina Applegate,CAST_IN,Cats & Dogs: The Revenge of Kitty Galore
Cats & Dogs: The Revenge of Kitty Galore,HAS_CAST,Christina Applegate
Nick Nolte,CAST_IN,Cats & Dogs: The Revenge of Kitty Galore
