Subject,Predicate,Object
Charlotte's Web,HAS_GENRE,Comedy
Comedy,GENRE_OF,Charlotte's Web
Charlotte's Web,HAS_GENRE,Family
Family,GENRE_OF,Charlotte's Web
Charlotte's Web,HAS_GENRE,Fantasy
Fantasy,GENRE_OF,Charlotte's Web
Charlotte's Web,HAS_CAST,Dakota Fanning
Dakota Fanning,CAST_IN,Charlotte's Web
Charlotte's Web,HAS_CAST,Julia Roberts
Julia Roberts,CAST_IN,Charlotte's Web
Charlotte's Web,HAS_CAST,Steve Buscemi
Steve Buscemi,CAST_IN,Charlotte's Web
Charlotte's Web,HAS_CAST,Oprah Winfrey
Oprah Winfrey,CAST_IN,Charlotte's Web
Everything You Always Wanted to Know About Sex*,HAS_GENRE,Comedy
Comedy,GENRE_OF,Everything You Always Wanted to Know About Sex*
Everything You Always Wanted to Know About Sex*,HAS_CAST,Woody Allen
Woody Allen,CAST_IN,Everything You Always Wanted to Know About Sex*
Everything You Always Wanted to Know About Sex*,HAS_DIRECTOR,Woody Allen
Woody Allen,DIRECTED,Everything You Always Wanted to Know About Sex*
Rock-a-Doodle,HAS_GENRE,Comedy
Comedy,GENRE_OF,Rock-a-Doodle
Rock-a-Doodle,HAS_GENRE,Family
Family,GENRE_OF,Rock-a-Doodle
Rock-a-Doodle,HAS_GENRE,Animation
Animation,GENRE_OF,Rock-a-Doodle
Rock-a-Doodle,HAS_GENRE,Fantasy
Fantasy,GENRE_OF,Rock-a-Doodle
Rock-a-Doodle,HAS_GENRE,Music
Music,GENRE_OF,Rock-a-Doodle
Rock-a-Doodle,HAS_CAST,Glen Campbell
Glen Campbell,CAST_IN,Rock-a-Doodle
Rock-a-Doodle,HAS_DIRECTOR,Don Bluth
Don Bluth,DIRECTED,Rock-a-Doodle
Rock-a-Doodle,HAS_WRITER,Don Bluth
Don Bluth,WROTE,Rock-a-Doodle
Too Late,HAS_GENRE,Drama
Drama,GENRE_OF,Too Late
Too Late,HAS_GENRE,Crime
Crime,GENRE_OF,Too Late
Too Late,HAS_GENRE,Mystery
Mystery,GENRE_OF,Too Late
Law Abiding Citizen,HAS_GENRE,Drama
Drama,GENRE_OF,Law Abiding Citizen
Law Abiding Citizen,HAS_GENRE,Crime
Crime,GENRE_OF,Law Abiding Citizen
Law Abiding Citizen,HAS_GENRE,Thriller
Thriller,GENRE_OF,Law Abiding Citizen
Law Abiding Citizen,HAS_CAST,Jamie Foxx
Jamie Foxx,CAST_IN,Law Abiding Citizen
Law Abiding Citizen,HAS_CAST,Gerard Butler
Gerard Butler,CAST_IN,Law Abiding Citizen
The Black Mask,HAS_GENRE,Crime
Crime,GENRE_OF,The Black Mask
Club Dread,HAS_GENRE,Comedy
Comedy,GENRE_OF,Club Dread
Club Dread,HAS_GENRE,Horror
Horror,GENRE_OF,Club Dread
Moana,HAS_GENRE,Adventure
Adventure,GENRE_OF,Moana
