SUBJECT,RELATION,OBJECT_PROPERTY,SCORE
Life of Pi,HAS_DIRECTOR,Ang Lee,2
Life of Pi,HAS_GENRE,Drama,2
Life of Pi,HAS_GENRE,Adventure,2
Demons 2,HAS_GENRE,Horror,2
The Glass Castle,HAS_CAST,Naomi Watts,2
The Glass Castle,HAS_CAST,Woody Harrelson,2
The Glass Castle,HAS_CAST,Brie Larson,2
The Glass Castle,HAS_GENRE,Drama,2
2010,HAS_CAST,Helen Mirren,2
2010,HAS_GENRE,Science Fiction,2
2010,HAS_GENRE,Thriller,2
Bad Santa,HAS_CAST,Bernie Mac,2
Bad Santa,HAS_CAST,Billy Bob Thornton,2
Bad Santa,HAS_GENRE,Crime,2
Bad Santa,HAS_GENRE,Comedy,2
Bad Santa,HAS_GENRE,Drama,2
Party Monster,HAS_CAST,Seth Green,2
Party Monster,HAS_CAST,Macaulay Culkin,2
Party Monster,HAS_GENRE,Crime,2
Party Monster,HAS_GENRE,Drama,2
Party Monster,HAS_GENRE,Comedy,2
Big Daddy,HAS_CAST,Joey Lauren Adams,2
Big Daddy,HAS_CAST,Adam Sandler,2
Big Daddy,HAS_GENRE,Drama,2
Big Daddy,HAS_GENRE,Comedy,2
Nosferatu,HAS_GENRE,Horror,2
Nosferatu,HAS_GENRE,Fantasy,2
Cats & Dogs: The Revenge of Kitty Galore,HAS_CAST,Bette Midler,2
Cats & Dogs: The Revenge of Kitty Galore,HAS_CAST,Christina Applegate,2
Cats & Dogs: The Revenge of Kitty Galore,HAS_CAST,Nick Nolte,2
Cats & Dogs: The Revenge of Kitty Galore,HAS_GENRE,Animation,2
Cats & Dogs: The Revenge of Kitty Galore,HAS_GENRE,Action,2
Cats & Dogs: The Revenge of Kitty Galore,HAS_GENRE,Fantasy,2
Cats & Dogs: The Revenge of Kitty Galore,HAS_GENRE,Comedy,2
Cats & Dogs: The Revenge of Kitty Galore,HAS_GENRE,Adventure,2
Cats & Dogs: The Revenge of Kitty Galore,HAS_GENRE,Family,2
This Is Spinal Tap,HAS_CAST,Christopher Guest,2
This Is Spinal Tap,HAS_GENRE,Comedy,2
This Is Spinal Tap,HAS_GENRE,Music,2
The Return of the Pink Panther,HAS_CAST,Peter Sellers,2
The Return of the Pink Panther,HAS_GENRE,Crime,2
The Return of the Pink Panther,HAS_GENRE,Comedy,2
The Return of the Pink Panther,HAS_GENRE,Mystery,2
Escape from New York,HAS_DIRECTOR,John Carpenter,2
Escape from New York,HAS_CAST,Kurt Russell,2
Escape from New York,HAS_GENRE,Action,2
Escape from New York,HAS_GENRE,Science Fiction,2
The Man Without a Face,HAS_DIRECTOR,Mel Gibson,2
The Man Without a Face,HAS_CAST,Mel Gibson,2
The Man Without a Face,HAS_GENRE,Drama,2
Step Up 3D,HAS_GENRE,Romance,2
Step Up 3D,HAS_GENRE,Drama,2
Black Water,HAS_GENRE,Horror,0
Black Water,HAS_GENRE,Drama,0
Black Water,HAS_GENRE,Adventure,0
Interstellar,HAS_WRITER,Christopher Nolan,2
Interstellar,HAS_DIRECTOR,Christopher Nolan,2
Interstellar,HAS_CAST,Michael Caine,2
Interstellar,HAS_CAST,Anne Hathaway,2
Interstellar,HAS_CAST,Matthew McConaughey,2
Interstellar,HAS_GENRE,Science Fiction,2
Interstellar,HAS_GENRE,Drama,2
Interstellar,HAS_GENRE,Adventure,2
"Legally Blonde 2: Red, White & Blonde",HAS_CAST,Luke Wilson,2
"Legally Blonde 2: Red, White & Blonde",HAS_CAST,Sally Field,2
"Legally Blonde 2: Red, White & Blonde",HAS_CAST,Reese Witherspoon,2
"Legally Blonde 2: Red, White & Blonde",HAS_GENRE,Romance,2
"Legally Blonde 2: Red, White & Blonde",HAS_GENRE,Comedy,2
Escape to Victory,HAS_DIRECTOR,John Huston,2
Escape to Victory,HAS_CAST,Michael Caine,2
Escape to Victory,HAS_CAST,Sylvester Stallone,2
Escape to Victory,HAS_GENRE,War,2
Escape to Victory,HAS_GENRE,Drama,2
Sherlock Holmes,HAS_DIRECTOR,Guy Ritchie,2
Sherlock Holmes,HAS_CAST,Rachel McAdams,2
Sherlock Holmes,HAS_CAST,Jude Law,2
Sherlock Holmes,HAS_CAST,Robert Downey Jr.,2
Sherlock Holmes,HAS_GENRE,Crime,2
Sherlock Holmes,HAS_GENRE,Adventure,2
Sherlock Holmes,HAS_GENRE,Action,2
Sherlock Holmes,HAS_GENRE,Mystery,2
Sherlock Holmes,HAS_GENRE,Drama,0
Halloween II,HAS_CAST,Jamie Lee Curtis,2
Halloween II,HAS_GENRE,Thriller,2
Halloween II,HAS_WRITER,Rob Zombie,0
Halloween II,HAS_DIRECTOR,Rob Zombie,0
Halloween II,HAS_GENRE,Horror,2
If I Stay,HAS_GENRE,Drama,2
Cujo,HAS_GENRE,Thriller,2
Cujo,HAS_GENRE,Horror,2
Batteries Not Included,HAS_GENRE,Fantasy,2
Batteries Not Included,HAS_GENRE,Family,2
Batteries Not Included,HAS_GENRE,Comedy,2
Batteries Not Included,HAS_GENRE,Science Fiction,2
The Day I Met El Chapo,HAS_GENRE,misc,0
2 Guns,HAS_CAST,Paula Patton,2
2 Guns,HAS_CAST,Mark Wahlberg,2
2 Guns,HAS_CAST,Denzel Washington,2
2 Guns,HAS_GENRE,Crime,2
2 Guns,HAS_GENRE,Comedy,2
2 Guns,HAS_GENRE,Action,2
WarGames,HAS_CAST,Ally Sheedy,2
WarGames,HAS_CAST,John Wood,2
WarGames,HAS_CAST,Matthew Broderick,2
